address,eth,deployed_at,high,all_known
0xd838f9c9792bf8398e1f5fbfbd3b43c5a86445aa,19.0950266,2016-04-21 07:57:31+00:00,refund(),refund()
0x887910314a3bfbe7b6ea0c5fbf3b9fd2fcac89d1,18.6396,2018-07-04 16:40:45+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xaa1197f77a52d35dd454924f0d663870bb083c71,18.33340547,2018-05-11 12:51:16+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x5087fecec9b7386d1f2417fd779e1fd9bf509466,17.0,2017-08-31 22:14:34+00:00,withdraw();refund(),withdraw();refund()
0xc6b330df38d6ef288c953f1f2835723531073ce2,16.836616675,2016-07-08 17:25:31+00:00,withdraw(uint256),withdraw(uint256)
0x2711847ffe2a0dd128197c3a6fe193fad1995ef3,16.68338495,2018-09-19 02:59:13+00:00,withdraw(),withdraw()
0x51bb7afb900f6676878a1e49966fcee29d4e449c,16.424776819,2018-10-25 14:02:47+00:00,withdraw(),withdraw()
0x0393aeb475e784785378eb1389de95fa2949a828,16.367732,2018-02-12 11:23:15+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x5a5eff38da95b0d58b6c616f2699168b480953c9,16.1958786,2016-06-23 13:53:26+00:00,withdraw(uint256),withdraw(uint256)
0xc728a64af23f8e14edf7aa138c8650b3c6d31d57,16.0,2018-02-16 21:45:37+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x205718799d502fe2c45d3afc91c3c8ccb5c0836f,15.81745577,2018-08-13 09:39:58+00:00,withdraw(),withdraw()
0xe9bb610e707a631e3460a9830821d3970a378166,15.78996835,2018-02-06 04:29:12+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x8f1bd425c64725013ebc98efc246c8f60da8812d,15.152996748,2018-07-27 15:52:56+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xa9388c84fe2ed0c13b219c6c0c5edbd3341f1d14,14.605548434,2018-05-25 01:13:21+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x3e2d7bf7f7b883e0ef771821d0b421529c5e97ff,14.270814399,2018-05-23 08:45:17+00:00,withdraw(),withdraw()
0x6e2e5b0bad80eac708fefe902a7e6917b95d7d2a,14.222673419,2018-03-31 14:52:45+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xfdc77b9cb732eb8c896b152e28294521f5f62e67,14.148739496,2016-05-11 18:37:42+00:00,unlock(),unlock()
0xde527099f9ecf94a67bc94c676694453f6bda781,14.132357089,2018-08-24 09:09:02+00:00,withdraw(),withdraw()
0xa620240a87ab21c9eb5cd5265e3e6c7de8103dae,13.749,2018-08-15 07:22:59+00:00,withdraw(uint256),withdraw(uint256)
0x6d0f7d4a214bf9a9f59dd946b0211b45f6661dd4,13.650357,2018-02-12 20:11:56+00:00,withdraw(uint256),withdraw(uint256)
0x5e96db84a4babf5958db3e1cf130d996947b1702,13.465203684,2018-08-15 05:13:25+00:00,withdraw(uint256),withdraw(uint256)
0x937478e73bf6547843af57564d7265306af024aa,13.45,2018-06-26 21:58:22+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x6ee4bc4cbc09346e718fad1933f9ca32543ddc93,13.315761,2018-02-27 03:23:58+00:00,withdraw(uint256),withdraw(uint256)
0xcd20d021314763af9740d810c7ea0ffb0ebda294,13.1615,2018-02-25 00:04:43+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x6421a5de0385e184ecc7200830246957cb3c5b90,13.0569,2017-06-25 14:33:48+00:00,withdraw(uint256),withdraw(uint256)
0x253c585bad5fcf7b2b15e3947410d14bbbd0f83e,12.9,2018-08-11 16:31:03+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xd5fd90879865a28d95a281ea4d6c37b71e27b112,12.874772764,2016-09-07 16:18:59+00:00,withdraw(),withdraw()
0xb0813fadbb418503fe6b23f410cf27572e74948b,12.500061121,2018-06-19 02:52:17+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xbf8346c772be2c157e79da790e916313f07283b2,12.5,2018-03-05 16:14:36+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x90f4f5579dd26737af96619b0f86d85fd496c691,12.499987175,2018-05-01 15:43:51+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0xf75197c722bc6d04b5aef94ac6b5d9825180b17f,12.410000845,2018-04-30 03:01:25+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
0x5b4d6f1f5aa992d8e83ddce2e0c433510111e9f7,12.1445754,2018-05-04 13:53:10+00:00,claimTokens(),claimTokens()
0x12b0621d90c69867957a836d677c64c46ec4291d,12.00009785,2016-06-27 14:19:01+00:00,withdraw(uint256),withdraw(uint256)
0x3cccd406279a96752ce6ab446b35f9183d1bff38,11.691054786,2018-04-14 08:52:50+00:00,withdraw(uint256);withdrawAll(),withdraw(uint256);withdrawAll()
